Código,Descrição,Quantidade,Valor Unitário
P001,Notebook Dell,15,3500.00
P002,Mouse Logitech,150,45.00
P003,Teclado Mecânico,80,250.00
P004,Monitor LG 24",25,890.00
P005,Webcam HD,40,180.00
P006,Headset Gamer,30,320.00
P007,Pen Drive 32GB,200,25.00
P008,HD Externo 1TB,35,380.00
P009,Impressora HP,12,1200.00
P010,Roteador WiFi,45,220.00
P011,Switch 8 portas,20,150.00
P012,Cabo HDMI,180,15.00
P013,Mousepad,120,20.00
P014,Cadeira Gamer,8,1800.00
P015,Mesa para Computador,10,650.00
P016,Luminária LED,50,85.00
P017,Suporte Monitor,35,95.00
P018,Estabilizador,25,180.00
P019,No-break 600VA,15,420.00
P020,Gabinete ATX,18,280.00
